,ID,RevolvingUtilizationOfUnsecuredLines,age,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,NumberOfDependents
120,55966,0.9999998999999999,28,0.187129022,3200.0,3,0,0.0
121,74856,0.38171545700000004,66,0.592945058,7880.0,6,3,0.0
122,44190,0.599914298,37,0.086808096,4100.0,5,0,2.0
123,94525,0.0049916809999999995,26,402.0,,4,0,0.0
124,129108,0.085334696,42,0.55039267,4583.0,10,2,1.0
125,65171,0.0,23,0.086956522,4300.0,2,0,0.0
126,142788,0.01836146,63,0.479380155,4000.0,30,1,6.0
127,46281,0.002327486,67,0.005571031,4666.0,10,0,0.0
128,128367,0.976011994,24,0.027756059,2557.0,3,0,0.0
129,83852,0.0,80,0.0,9314.0,8,0,0.0
130,135833,0.579669667,65,4289.0,,7,1,1.0
131,9768,0.057942497999999995,43,0.379848061,2500.0,8,1,2.0
132,114203,0.036015424,67,68.0,,5,0,0.0
133,130891,0.009919206,35,0.280596503,5833.0,4,1,1.0
134,79986,0.0,77,0.009665056,6000.0,2,0,0.0
135,85727,0.028530926,64,0.112377524,5000.0,10,1,1.0
136,121582,0.9999998999999999,29,0.056307526,1846.0,2,0,0.0
137,136302,0.456905925,40,0.353213665,3453.0,9,0,2.0
138,66949,0.9999998999999999,60,90.0,,4,0,0.0
139,71625,0.014107248999999999,46,2382.0,,6,3,2.0
140,91963,0.866053579,39,0.409886143,3600.0,5,1,3.0
141,90324,0.125476363,56,4125.0,,5,2,0.0
142,56863,0.028702848,56,0.763310858,4300.0,21,4,0.0
143,62036,0.027009613,65,0.105126325,15000.0,12,0,4.0
144,109914,0.7324492159999999,49,0.164036869,6400.0,8,0,0.0
145,26723,0.9999998999999999,44,0.058687792999999995,13000.0,3,0,3.0
146,78385,0.431761065,40,0.618761931,11000.0,8,3,2.0
147,129036,0.429180925,45,0.37640319,12916.0,7,1,2.0
148,20672,0.297824049,60,791.0,,7,2,0.0
149,146881,0.061919260999999996,61,1216.0,,15,1,
150,173,0.16653274,53,0.5436259489999999,7506.0,11,3,3.0
151,58592,0.346855984,53,2412.0,,23,1,0.0
152,75938,0.034569512999999996,82,0.094516813,3300.0,14,1,0.0
153,19749,0.116897078,62,0.398854121,4537.0,5,1,3.0
154,137211,0.9999998999999999,49,10.0,,0,0,0.0
155,13316,0.340581649,49,0.442926179,6000.0,18,1,2.0
156,122881,0.41343476700000004,69,0.07340302,4304.0,6,0,0.0
157,25347,0.013578161000000002,56,0.378476641,5500.0,22,1,0.0
158,670,0.569824212,40,0.361421689,11000.0,18,1,2.0
159,91146,0.0,64,0.198352941,8499.0,8,1,1.0
160,84455,0.053218034000000004,66,1486.0,,9,1,2.0
161,86502,0.082805403,41,0.01779065,7250.0,9,0,0.0
162,135982,0.49495027399999997,56,0.239301426,7500.0,7,1,1.0
163,89214,0.45965572200000004,46,1.103758931,3218.0,7,2,0.0
164,86803,0.047387606,67,0.208029197,4383.0,9,1,0.0
165,24612,0.485502899,26,0.19432227100000002,2500.0,4,0,0.0
166,109249,0.432823832,82,0.629418065,2800.0,18,0,0.0
167,147857,0.36705038700000003,44,980.0,,4,1,1.0
168,47616,0.732850862,50,0.681589867,4578.0,7,2,3.0
169,99817,0.019827365,32,0.558307152,5410.0,9,1,1.0
170,39449,0.0,78,0.0,,4,0,0.0
171,26979,0.035724025,28,1.377588307,820.0,4,0,0.0
172,18444,0.660818713,24,0.027039308999999997,4400.0,3,0,0.0
173,99285,0.46107784399999996,23,6.0,0.0,1,0,0.0
174,142757,0.5610548679999999,47,0.856407149,3300.0,9,1,4.0
175,119187,0.88211448,34,0.402374258,3200.0,9,0,1.0
176,105138,0.9999998999999999,92,67.0,,0,0,0.0
177,13253,0.319131161,72,0.037362855,10116.0,4,0,0.0
178,64672,0.028281687000000003,42,0.24095984,6000.0,5,1,0.0
179,8589,0.124387561,60,0.008220395,4500.0,1,0,0.0
180,93719,0.362512075,67,0.293529496,7000.0,17,1,0.0
181,72802,0.041105182999999997,65,0.165512998,6500.0,20,1,1.0
182,41206,0.830732776,66,1.192718552,4586.0,14,2,0.0
183,15249,0.010449478,56,0.000319047,18805.0,4,0,1.0
184,63785,0.046117674000000004,26,0.176298464,4100.0,6,0,0.0
185,43275,0.004676978,73,0.00779844,1666.0,10,0,0.0
186,39944,1.009663446,32,0.337651553,6020.0,9,1,2.0
187,11908,0.0,50,0.5244965,7000.0,9,3,2.0
188,101679,0.00109086,75,64.0,,6,0,0.0
189,87494,0.545152869,39,0.123542014,4200.0,4,0,0.0
190,91839,0.532746725,46,0.296694589,8833.0,10,2,1.0
191,10707,0.300569947,37,1.040480635,8571.0,15,3,0.0
192,60337,0.106258868,78,1488.0,,7,1,1.0
193,64956,0.108587106,46,0.305174644,7729.0,17,2,3.0
194,91817,0.123268105,31,0.31704065800000003,4500.0,7,1,0.0
195,97314,0.076700434,30,0.034364261,3200.0,1,0,1.0
196,33387,0.058916625,74,0.108386315,6605.0,7,1,0.0
197,97712,0.227252042,48,0.088722274,3200.0,3,0,0.0
198,114608,0.68962118,37,0.268131868,2274.0,3,0,1.0
199,9762,0.017213822,62,0.004587155999999999,5667.0,7,0,0.0
